package,repository,revision,path,line,kind,declaration
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,24,structure,ArithmeticSurface
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,31,def,arakelovSelfIntersection
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,35,def,ArakelovPositivity
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,40,def,X
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,45,def,C_S4_143
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,50,lemma,X
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,53,lemma,arakelovSelfIntersection_X0_143
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,60,lemma,arakelovSelfIntersection_X0_143_pos
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C01_Arakelov.lean,66,theorem,C_S4_143_gt_tau
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C02_Modularity.lean,42,def,Modularity_X0_143_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C03_Positivity.lean,20,theorem,slope_inequality
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C03_Positivity.lean,30,theorem,faltingsHeight_pos
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C03_Positivity.lean,34,theorem,height_lower_bound
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C03_Positivity.lean,40,lemma,slope_le_self_intersection_X0_143
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C04_HeightBound.lean,47,def,VojtaHeightBound_X0_143_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C05_Discriminant.lean,52,def,DiscriminantBound_X0_143_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C06_BostConnes.lean,26,theorem,bost_connes_threshold
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C06_BostConnes.lean,40,theorem,bost_connes_excess
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C07_RHCombinator.lean,38,structure,FullChainOpenDebt
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C07_RHCombinator.lean,62,theorem,C07_FullChain_RH_conditional
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C07_RHCombinator.lean,68,def,C07_ArakelovBridge_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C07_RHCombinator.lean,72,theorem,C07_RH_of_Arakelov
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C08_Positivity.lean,22,theorem,arakelov_positivity_X0_143
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C08_Positivity.lean,31,theorem,P5_conductor_times_genus
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C08_Positivity.lean,34,theorem,P5_HeckeTransfer_14_CLOSED
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,46,def,P5_HeckeTransfer_14_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,55,theorem,C09_RH_of_P5Bridge
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,65,def,GRH_X0_143_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,72,def,LanglandsGL2_X0_143_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,78,def,Langlands_Descent_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,85,def,GRH_to_RH_Descent_143_OPEN
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,101,theorem,grh_descent_to_RH
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C09_GRHDescent.lean,126,theorem,C13_RH_route_b
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C10_RHMainTheorem.lean,54,theorem,opera_numerorum_route_a
Core,arakelov-positivity-rh-core,da3b943c662f37c62f8bbaf6ad38783a84ed9b54,ArakelovRH/C10_RHMainTheorem.lean,70,theorem,opera_numerorum_route_b
